ROWID,DATACODE,RECTYPE,RECYEAR,SEASON,WATERSHED/LINE,Pm,Rmeg,Sh,Bh,Rmon,St,Mo,Pl,Ch,Mm,Nf,Sc,Zh,Cp
108,CSM01,1,1985,AU,N01B-W,3,0,0,2,0,1,4,3,0,0,0,3,0,0
109,CSM01,1,1985,AU,N04D-E,6,0,0,0,0,0,5,0,1,0,0,0,0,0
110,CSM01,1,1985,AU,N04D-W,3,0,0,2,0,0,3,0,0,0,0,1,0,0
111,CSM01,1,1985,SP,004F-E,0,0,0,0,0,1,0,0,0,0,0,0,0,0
112,CSM01,1,1985,SP,004F-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,CSM01,1,1985,SP,004B-E,5,0,0,0,0,0,0,0,0,0,0,0,0,0
114,CSM01,1,1985,SP,004B-W,4,1,0,0,0,0,0,1,0,0,0,0,0,0
115,CSM01,1,1985,SP,001D-E,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,CSM01,1,1985,SP,001D-W,1,0,0,0,0,1,0,0,0,0,0,0,0,0
117,CSM01,1,1985,SP,020B-E,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,CSM01,1,1985,SP,020B-W,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,CSM01,1,1985,SP,N20B-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,CSM01,1,1985,SP,N20B-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,CSM01,1,1985,SP,N01B-E,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,CSM01,1,1985,SP,N01B-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,CSM01,1,1985,SP,N04D-E,4,0,0,1,0,0,0,0,0,0,0,0,0,0
124,CSM01,1,1985,SP,N04D-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,CSM01,1,1986,AU,004F-E,11,0,0,8,0,0,0,2,0,0,0,0,0,0
126,CSM01,1,1986,AU,004F-W,4,0,0,1,0,0,1,1,0,0,0,0,0,0
127,CSM01,1,1986,AU,004B-E,9,0,0,3,0,0,0,0,0,0,0,0,0,0
128,CSM01,1,1986,AU,004B-W,7,0,0,11,0,0,0,7,1,0,0,0,0,0
129,CSM01,1,1986,AU,001D-E,8,0,0,1,0,0,0,0,0,0,0,0,0,0
130,CSM01,1,1986,AU,001D-W,14,0,0,4,0,0,0,0,0,0,0,0,0,0
131,CSM01,1,1986,AU,020B-E,5,0,0,8,0,0,0,2,0,0,0,0,0,0
132,CSM01,1,1986,AU,020B-W,0,0,0,8,0,0,0,1,0,1,0,0,0,0
133,CSM01,1,1986,AU,N20B-N,3,1,0,11,0,0,0,1,0,1,0,0,0,0
134,CSM01,1,1986,AU,N20B-S,5,1,0,5,1,1,0,3,0,0,0,0,0,0
135,CSM01,1,1986,AU,N01B-E,5,4,0,4,0,0,0,1,0,0,0,0,0,0
136,CSM01,1,1986,AU,N01B-W,4,2,0,2,0,0,1,6,0,0,0,0,0,0
137,CSM01,1,1986,AU,N04D-E,6,0,0,1,0,0,0,4,0,0,0,0,0,0
138,CSM01,1,1986,AU,N04D-W,11,3,0,2,0,0,0,1,0,0,0,1,0,0
139,CSM01,1,1986,SP,004F-E,7,1,0,0,0,0,0,0,0,0,0,0,0,0
140,CSM01,1,1986,SP,004F-W,8,0,0,0,0,0,0,0,0,0,0,0,0,0
141,CSM01,1,1986,SP,004B-E,7,2,0,2,0,1,0,0,0,0,0,0,0,0
142,CSM01,1,1986,SP,004B-W,5,0,0,0,0,0,0,0,0,0,0,0,0,0
143,CSM01,1,1986,SP,001D-E,8,1,0,0,0,0,1,0,0,0,0,0,0,0
144,CSM01,1,1986,SP,001D-W,0,0,0,0,0,1,0,0,0,0,0,0,0,0
145,CSM01,1,1986,SP,020B-E,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146,CSM01,1,1986,SP,020B-W,2,0,0,0,0,0,3,0,0,0,0,0,0,0
147,CSM01,1,1986,SP,N20B-N,5,0,0,0,0,0,0,0,0,0,0,0,0,0
148,CSM01,1,1986,SP,N20B-S,3,1,0,1,0,0,0,0,0,0,0,1,0,0
149,CSM01,1,1986,SP,N01B-E,9,0,0,0,0,1,2,3,0,0,0,0,0,0
150,CSM01,1,1986,SP,N01B-W,3,0,0,0,0,0,0,1,0,0,0,0,0,0
151,CSM01,1,1986,SP,N04D-E,2,0,0,0,0,0,2,2,0,0,0,0,0,0
152,CSM01,1,1986,SP,N04D-W,6,0,0,0,0,0,2,0,0,0,0,0,0,0
153,CSM01,1,1987,AU,004F-E,1,1,0,7,0,0,0,1,0,0,0,0,0,0
154,CSM01,1,1987,AU,004F-W,3,7,0,6,0,0,0,0,0,0,0,0,0,0
155,CSM01,1,1987,AU,004B-E,12,12,0,2,0,1,0,0,0,0,0,0,0,0
156,CSM01,1,1987,AU,004B-W,4,9,8,3,0,1,0,0,0,0,1,0,0,0
157,CSM01,1,1987,AU,001D-E,8,2,0,4,0,0,0,0,0,0,0,0,0,0
158,CSM01,1,1987,AU,001D-W,2,1,0,7,0,0,0,0,0,0,0,0,0,0
159,CSM01,1,1987,AU,020B-E,1,7,0,1,0,0,0,1,0,0,0,0,0,0
160,CSM01,1,1987,AU,020B-W,1,6,0,1,0,0,0,0,0,0,0,0,0,0
161,CSM01,1,1987,AU,N20B-N,2,10,0,9,0,0,0,0,0,2,0,0,0,0
162,CSM01,1,1987,AU,N20B-S,0,3,0,3,0,0,0,0,0,0,0,0,0,0
163,CSM01,1,1987,AU,N01B-E,3,16,0,3,0,0,0,2,0,0,0,0,0,0
164,CSM01,1,1987,AU,N01B-W,2,6,0,1,0,0,0,5,0,0,0,0,0,0
165,CSM01,1,1987,AU,N04D-E,7,4,0,1,0,0,0,0,0,0,0,0,0,0
166,CSM01,1,1987,AU,N04D-W,1,6,0,1,0,0,0,0,0,0,0,0,0,0
167,CSM01,1,1987,SP,004F-E,3,2,0,0,0,1,0,1,0,0,0,0,0,0
168,CSM01,1,1987,SP,004F-W,2,1,0,0,0,0,0,0,0,0,0,0,0,0
169,CSM01,1,1987,SP,004B-E,5,1,0,0,0,0,0,0,0,0,0,0,0,0
170,CSM01,1,1987,SP,004B-W,2,4,0,0,1,0,0,1,0,0,0,0,0,0
171,CSM01,1,1987,SP,001D-E,4,0,0,0,0,0,0,0,0,0,0,0,0,0
172,CSM01,1,1987,SP,001D-W,1,0,0,0,0,1,0,0,0,0,0,0,0,0
173,CSM01,1,1987,SP,020B-E,3,1,0,0,0,0,0,0,0,0,0,0,0,0
174,CSM01,1,1987,SP,020B-W,1,2,0,1,0,0,0,0,0,0,0,0,0,0
175,CSM01,1,1987,SP,N20B-N,3,0,0,0,0,1,0,2,0,0,0,0,0,0
176,CSM01,1,1987,SP,N20B-S,0,2,0,0,0,0,0,0,0,0,0,0,0,0
177,CSM01,1,1987,SP,N01B-E,10,1,0,0,0,0,0,2,0,0,0,0,0,0
178,CSM01,1,1987,SP,N01B-W,2,2,0,0,0,0,0,2,0,0,0,0,0,0
179,CSM01,1,1987,SP,N04D-E,2,0,0,0,0,2,0,0,0,0,0,0,0,0
180,CSM01,1,1987,SP,N04D-W,4,1,0,0,0,0,0,1,0,0,0,0,0,0
181,CSM01,1,1988,AU,004F-E,4,2,0,0,0,0,0,0,0,0,0,0,0,0
182,CSM01,1,1988,AU,004F-W,0,3,0,0,0,1,0,0,0,0,0,0,0,0
