DATACODE,RECTYPE,RECYEAR,SEASON,WATERSHED/LINE,Pm,Rmeg,Sh,Bh,Rmon,St,Mo,Pl,Ch,Mm,Nf,Sc,Zh,Cp
CSM04,1,2003,SP,WA-A,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2003,SP,WB-B,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2004,AU,FA-A,12,0,2,4,0,0,0,1,0,0,0,0,0,0
CSM04,1,2004,AU,FB-B,11,2,0,0,0,0,0,3,0,0,0,0,1,0
CSM04,1,2004,AU,SpB-A,5,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2004,AU,SpB-B,12,0,0,0,0,0,0,5,0,0,3,0,0,0
CSM04,1,2004,AU,SuB-A,8,0,0,0,0,0,0,6,0,0,0,0,1,0
CSM04,1,2004,AU,SuB-B,5,1,0,4,0,0,0,4,1,0,0,0,0,0
CSM04,1,2004,AU,WA-A,10,0,1,1,0,0,0,1,1,0,0,0,0,0
CSM04,1,2004,AU,WB-B,6,2,0,1,0,0,0,0,0,0,0,0,0,0
CSM04,1,2004,SP,FA-A,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2004,SP,FB-B,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2004,SP,SpB-A,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2004,SP,SpB-B,3,0,0,0,0,0,1,2,0,0,0,0,0,0
CSM04,1,2004,SP,SuB-A,6,0,0,0,0,0,0,1,0,0,1,0,0,0
CSM04,1,2004,SP,SuB-B,7,0,0,0,0,0,1,2,0,0,0,0,0,0
CSM04,1,2004,SP,WA-A,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2004,SP,WB-B,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2005,AU,FA-A,12,0,1,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2005,AU,FB-B,6,1,3,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2005,AU,SpB-A,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2005,AU,SpB-B,7,1,4,0,0,0,0,1,0,0,1,0,0,0
CSM04,1,2005,AU,SuB-A,5,0,0,0,0,0,0,2,0,0,1,0,0,0
CSM04,1,2005,AU,SuB-B,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2005,AU,WA-A,7,0,0,0,0,0,0,0,4,0,0,0,0,0
CSM04,1,2005,AU,WB-B,5,1,0,0,0,0,0,1,1,0,0,0,0,0
CSM04,1,2005,SP,FA-A,15,0,0,0,0,0,0,4,0,0,0,0,0,0
CSM04,1,2005,SP,FB-B,11,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,2005,SP,SpB-A,11,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2005,SP,SpB-B,8,2,0,0,0,0,0,7,0,0,1,0,0,0
CSM04,1,2005,SP,SuB-A,1,1,0,0,0,0,0,4,0,0,1,0,0,0
CSM04,1,2005,SP,SuB-B,3,2,0,0,0,0,0,4,0,0,0,0,0,0
CSM04,1,2005,SP,WA-A,9,0,0,0,0,0,0,3,0,0,0,0,0,0
CSM04,1,2005,SP,WB-B,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2006,AU,FA-A,13,0,0,3,0,0,0,0,0,0,0,0,0,0
CSM04,1,2006,AU,FB-B,19,1,12,0,0,0,2,0,0,0,0,0,0,0
CSM04,1,2006,AU,SpB-A,6,0,0,0,0,0,0,0,0,0,1,0,0,0
CSM04,1,2006,AU,SpB-B,13,0,3,0,0,0,0,2,0,0,1,0,0,0
CSM04,1,2006,AU,SuB-A,6,2,3,1,0,0,0,3,0,0,0,0,0,0
CSM04,1,2006,AU,SuB-B,4,1,1,1,0,1,0,2,0,0,0,0,0,0
